FileType,OuDiaSecond.JikokuhyouCsv.2
2604改正古中鉄道運行時刻表260402版
上り

列車番号,,A0427K,003-042,A0558S,013-042,020-042,A0552S,019-052,011-052,056-052,005-052,A0560S,A0511K,002-052,A0527K,001-052,022-052,A0522K,A0658S,003-052,016-052,A0516K,A0661S,A0651S,031-052,059-052,A0559S,A0652S,020-062,056-062,A0656S,A0611K,019-062,026-062,A0626K,A0653S,A0627K,005-062,014-062,055-062,A0655S,A0658S②,008-062,017-062,060-062,A0660S,A0661S②,002-062,024-062,054-062,A0654S,A0759S,001-062,025-062,013-062,A0613K,A0756S,003-062,022-062,023-062,A0623S,A0726K,015-062,020-072,016-072,A0716K,A0727K,006-072,051-072,019-072,A0719K,A0758S,005-072,052-072,014-072,A0714K,A0761S,008-072,011-072,017-072,A0717K,A0759S②,002-072,053-072,024-072,A0724K,A0856S,001-072,055-072,025-072,A0725K,A0826K,003-072,060-072,022-072,A0722K,A0827K,015-072,054-072,020-074,A0720K,A0858S,006-082,013-082,051-082,A0851S,A0861S,005-082,023-082,052-082,A0852S,A0821K,A0859S,008-082,016-082,016-082,A0811K,A0856S②,002-082,019-082,053-082,A0853S,017-082,001-082,014-082,A0814K,055-082,060-082,A0860S,003-082,A0926K,054-082,A0854S,A0960S,024-082,015-082,025-082,A0825K,A0920K,006-092,005-092,022-092,A0922K,A0921K,008-092,051-092,A0951S,A0956S,001-092,052-092,A0952S,A0926K②,009-092,055-092,011-092,A0911K,A0960S②,003-092,014-092,A0914K,A1020K,015-092,054-092,A0954S,A1021K,006-102,025-102,A1025K,A1056S,008-102,022-102,A1022K,A1026K,001-102,051-102,A1051S,A1060S,009-102,052-102,A1052S,A1020K②,003-102,011-102,A1011K,A1121K,015-102,014-102,A1014K,A1156S,006-112,054-102,A1054S,A1126K,008-112,025-112,A1125K,A1160S,001-112,022-112,A1122K,A1120K,009-112,051-112,A1151S,A1121K②,003-112,052-112,A1152S,A1256S,015-112,011-112,A1111K,A1226K,006-122,014-122,A1214K,A1260S,008-122,054-122,A1254S,A1220K,001-122,025-122,A1225K,A1221K,009-122,022-122,A1222K,A1256S②,003-122,051-122,A1251S,A1326K,015-122,052-122,A1252S,A1360S,006-132,011-132,A1311K,A1320K,008-132,014-132,A1314K,A1321K,001-132,054-132,A1354S,A1356S,009-132,025-132,A1325K,A1326K②,003-132,022-132,A1322K,A1460S,015-132,051-132,A1351S,A1420K,006-142,052-142,A1452S,A1421K,008-142,011-142,A1411K,A1456S,001-142,014-142,A1414K,A1426K,009-142,054-142,A1454S,A1460S②,003-142,025-142,A1425K,A1520K,015-142,022-142,A1422K,A1521K,006-152,051-152,A1551S,A1556S,008-152,052-152,A1552S,A1526K,001-152,011-152,A1511K,A1560S,009-152,014-152,A1514K,A1520K②,003-152,054-152,A1554S,A1621K,015-152,025-152,A1525K,A1656S,006-162,022-162,A1622K,A1626K,008-162,051-162,A1651S,A1660S,001-162,052-162,A1652S,A1620K,009-162,011-162,A1611K,A1621K②,003-162,014-162,A1614K,A1756S,A1712K,015-162,054-162,A1654S,A1726K,006-172,025-172,A1725K,A1760S,A1757S,008-172,022-172,A1722K,A1720K,007-172,001-172,051-172,A1751S,A1721K,A1759S,009-172,052-172,A1752S,A1756S②,002-172,011-172,A1711K,A1812K,003-172,015-172,A1715K,A1825K,018-172,014-172,A1714K,A1822K,006-182,054-182,A1854S,A1820K,007-182,026-182,A1826K,A1821K,008-182,060-182,060-182,A1859S,001-182,057-182,A1857S,A1811K,009-182,051-182,A1851S,A1915K,002-182,052-182,A1852S,A1914K,003-182,056-182,A1856S,A1954S,018-182,012-192,A1912K,A1926K,006-192,025-192,A1925K,A1960S,007-192,022-192,A1922K,A1957S,008-192,020-192,A1920K,A1951S,001-192,021-192,A1921K,A1952S,009-192,059-192,A1959S,A2056S,002-192,011-192,A1911K,A2012K,003-192,015-192,A2015K,A2025K,018-202,014-202,A2014K,A2022K,006-202,054-202,A2054S,A2020K,007-202,026-202,A2026K,A2021K,008-202,060-202,A2060S,A2059S,001-202,057-202,A2057S,A2112K,009-202,051-202,A2051S,A2125K,052-202,A2052S,002-202,003-202,056-212,A2156S,A2122K,018-212,015-212,A2115K,A2120K,006-212,014-212,A2114K,A2159S,007-212,026-212,A2126K,A2112K,001-212,021-212,A2121K,A2225K,009-212,057-212,A2157S,A2222K,055-222,002-212,051-222,A2251S,A2220K,018-222,056-222,A2256S,A2259S,005-222,006-222,015-222,A2212K,007-222,014-222,A2214K,A2225K②,001-222,026-222,A2326K,055-224,002-222,021-232,A2321K,A2320K,018-232,051-232,A2351S,A2359S,007-232,056-232,A2356S,A2314K,001-232,012-232,A2312K,A2426K,002-242,025-242,A2425K,A2425K②,A2420K,018-242,051-242,A2451S,A2459S,001-242,014-242,002-244
運用番号,,27K,03,58S,13K,20K,52S,19K,11K,56S,05,60S,11K,02,27K,01,22K,22K,58S,03,16K,16K,61S,51S,13K,59S,59S,52S,20K,56S,56S,11K,19K,26K,26K,53S,27K,05,14K,55S,55S,58S,08,17K,60S,60S,61S,02,24K,54S,54S,59S,01,25K,13K,13K,56S,03,22K,23K,23K,26K,15K,20K,16K,16K,27K,06,51S,19K,19K,58S,05,52S,14K,14K,61S,08,11K,17K,17K,59S,02,53S,24K,24K,56S,01,55S,25K,25K,26K,03,60S,22K,22K,27K,15K,54S,20K,20K,58S,06,13K,51S,51S,61S,05,23K,52S,52S,21K,59S,08,16K,11K,11K,56S,02,19K,53S,53S,17K,01,14K,14K,55S,60S,60S,03,26K,54S,54S,60S,24K,15K,25K,25K,20K,06,05,22K,22K,21K,08,51S,51S,56S,01,52S,52S,26K,09,55S,11K,11K,60S,03,14K,14K,20K,15K,54S,54S,21K,06,25K,25K,56S,08,22K,22K,26K,01,51S,51S,60S,09,52S,52S,20K,03,11K,11K,21K,15K,14K,14K,56S,06,54S,54S,26K,08,25K,25K,60S,01,22K,22K,20K,09,51S,51S,21K,03,52S,52S,56S,15K,11K,11K,26K,06,14K,14K,60S,08,54S,54S,20K,01,25K,25K,21K,09,22K,22K,56S,03,51S,51S,26K,15K,52S,52S,60S,06,11K,11K,20K,08,14K,14K,21K,01,54S,54S,56S,09,25K,25K,26K,03,22K,22K,60S,15K,51S,51S,20K,06,52S,52S,21K,08,11K,11K,56S,01,14K,14K,26K,09,54S,54S,60S,03,25K,25K,20K,15K,22K,22K,21K,06,51S,51S,56S,08,52S,52S,26K,01,11K,11K,60S,09,14K,14K,20K,03,54S,54S,21K,15K,25K,25K,56S,06,22K,22K,26K,08,51S,51S,60S,01,52S,52S,20K,09,11K,11K,21K,03,14K,14K,56S,12K,15K,54S,54S,26K,06,25K,25K,60S,57S,08,22K,22K,20K,07,01,51S,51S,21K,59S,09,52S,52S,56S,02,11K,11K,12K,03,15K,15K,25K,18K,14K,14K,22K,06,54S,54S,20K,07,26K,26K,21K,08,60S,60S,59S,01,57S,57S,11K,09,51S,51S,15K,02,52S,52S,14K,03,56S,56S,54S,18K,12K,12K,26K,06,25K,25K,60S,07,22K,22K,57S,08,20K,20K,51S,01,21K,21K,52S,09,59S,59S,56S,02,11K,11K,12K,03,15K,15K,25K,18K,14K,14K,22K,06,54S,54S,20K,07,26K,26K,21K,08,60S,60S,59S,01,57S,57S,12K,09,51S,51S,25K,52S,52S,02,03,56S,56S,22K,18K,15K,15K,20K,06,14K,14K,59S,07,26K,26K,12K,01,21K,21K,25K,09,57S,57S,22K,55S,02,51S,51S,20K,18K,56S,56S,59S,05,06,15K,12K,07,14K,14K,25K,01,26K,26K,55S,02,21K,21K,20K,18K,51S,51S,59S,07,56S,56S,14K,01,12K,12K,26K,02,25K,25K,25K,20K,18K,51S,51S,59S,01,14K,02
列車種別,,各駅停車,普通,各駅停車,普通,普通,各駅停車,普通,回送,回送,急行,回送,各駅停車,普通,各駅停車,普通,急行,快速,各駅停車,普通,急行,快速,回送,各駅停車,普通,急行,快速,各駅停車,普通,急行,快速,各駅停車,普通,急行,快速,回送,各駅停車,普通,急行,準急,快速,各駅停車,普通,急行,準急,快速,各駅停車,普通,急行,準急,快速,各駅停車,普通,急行,準急,快速,各駅停車,普通,急行,準急,快速,各駅停車,普通,急行,準急,快速,各駅停車,普通,急行,準急,快速,各駅停車,普通,急行,準急,快速,各駅停車,普通,急行,準急,快速,各駅停車,普通,急行,準急,快速,各駅停車,普通,急行,準急,快速,各駅停車,普通,急行,準急,快速,各駅停車,普通,急行,準急,快速,各駅停車,普通,急行,準急,特急,各駅停車,普通,急行,準急,特急,回送,各駅停車,普通,特急,準急,特急,各駅停車,普通,急行,準急,各駅停車,回送,普通,急行,特急,準急,回送,回送,普通,各駅停車,特急,特急,各駅停車,回送,普通,特急,特急,各駅停車,普通,回送,特急,特急,各駅停車,普通,特急,特急,各駅停車,普通,特急,特急,各駅停車,回送,普通,特急,特急,各駅停車,普通,特急,特急,各駅停車,普通,特急,特急,各駅停車,普通,特急,特急,各駅停車,普通,特急,特急,各駅停車,普通,特急,特急,各駅停車,普通,特急,特急,各駅停車,普通,特急,特急,各駅停車,普通,特急,特急,各駅停車,普通,特急,特急,各駅停車,普通,特急,特急,各駅停車,普通,特急,特急,各駅停車,普通,特急,特急,各駅停車,普通,特急,特急,各駅停車,普通,特急,特急,各駅停車,普通,特急,特急,各駅停車,普通,特急,特急,各駅停車,普通,特急,特急,各駅停車,普通,特急,特急,各駅停車,普通,特急,特急,各駅停車,普通,特急,特急,各駅停車,普通,特急,特急,各駅停車,普通,特急,特急,各駅停車,普通,特急,特急,各駅停車,普通,特急,特急,各駅停車,普通,特急,特急,各駅停車,普通,特急,特急,各駅停車,普通,特急,特急,各駅停車,普通,特急,特急,各駅停車,普通,特急,特急,各駅停車,普通,特急,特急,各駅停車,普通,特急,特急,各駅停車,普通,特急,特急,各駅停車,普通,特急,特急,各駅停車,普通,特急,特急,各駅停車,普通,特急,特急,各駅停車,普通,特急,特急,各駅停車,普通,特急,特急,各駅停車,普通,特急,特急,各駅停車,普通,特急,特急,各駅停車,普通,特急,特急,各駅停車,普通,特急,特急,各駅停車,普通,特急,特急,各駅停車,普通,特急,特急,各駅停車,回送,普通,特急,特急,各駅停車,普通,特急,特急,各駅停車,回送,普通,特急,特急,各駅停車,回送,普通,特急,特急,各駅停車,回送,普通,急行,特急,各駅停車,普通,特急,特急,各駅停車,普通,急行,特急,各駅停車,普通,急行,特急,各駅停車,普通,急行,特急,各駅停車,普通,急行,特急,各駅停車,普通,急行,特急,各駅停車,普通,急行,特急,各駅停車,普通,急行,特急,各駅停車,普通,急行,特急,各駅停車,普通,急行,特急,各駅停車,普通,急行,特急,各駅停車,普通,急行,特急,各駅停車,普通,急行,特急,各駅停車,普通,急行,特急,各駅停車,普通,急行,特急,各駅停車,普通,急行,特急,各駅停車,普通,急行,特急,各駅停車,普通,急行,特急,各駅停車,普通,急行,特急,各駅停車,普通,急行,各駅停車,各駅停車,普通,特急,特急,各駅停車,普通,急行,各駅停車,各駅停車,普通,特急,特急,各駅停車,普通,急行,特急,各駅停車,急行,各駅停車,普通,普通,特急,特急,各駅停車,普通,急行,特急,各駅停車,普通,特急,特急,各駅停車,普通,特急,特急,各駅停車,普通,急行,特急,各駅停車,普通,急行,特急,各駅停車,回送,普通,急行,特急,各駅停車,普通,急行,特急,各駅停車,回送,普通,準急,各駅停車,普通,急行,特急,各駅停車,普通,急行,各駅停車,準急,普通,急行,特急,各駅停車,普通,急行,特急,各駅停車,普通,急行,各駅停車,各駅停車,普通,急行,特急,各駅停車,普通,急行,各駅停車,回送,各駅停車,普通,急行,特急,各駅停車,普通,急行,普通
列車名,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
号数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
終着駅,,新二鳥,九十九市場,新二鳥,菊中市,滝之川信号場,新二鳥,菊中市,滝之川信号場,葉山二俣国大,四津川大学前,汐浪公園,二鳥新町,菊中市,新二鳥,菊中市,菊中市,二鳥新町,新二鳥,菊中市,菊中市,二鳥新町,新二鳥,新二鳥,菊中市,菊中市,二鳥新町,新二鳥,菊中市,菊中市,二鳥新町,新二鳥,菊中市,菊中市,二鳥新町,新二鳥,新二鳥,菊中市,菊中市,菊中市,二鳥新町,新二鳥,菊中市,菊中市,菊中市,二鳥新町,新二鳥,菊中市,菊中市,菊中市,二鳥新町,新二鳥,菊中市,菊中市,菊中市,二鳥新町,新二鳥,菊中市,菊中市,菊中市,二鳥新町,新二鳥,菊中市,菊中市,菊中市,二鳥新町,新二鳥,菊中市,菊中市,菊中市,二鳥新町,新二鳥,菊中市,菊中市,菊中市,二鳥新町,新二鳥,菊中市,菊中市,菊中市,二鳥新町,新二鳥,菊中市,菊中市,菊中市,二鳥新町,新二鳥,菊中市,菊中市,菊中市,二鳥新町,新二鳥,菊中市,菊中市,菊中市,二鳥新町,新二鳥,菊中市,菊中市,菊中市,二鳥新町,新二鳥,菊中市,菊中市,菊中市,二鳥新町,新二鳥,菊中市,菊中市,菊中市,二鳥新町,新二鳥,新二鳥,菊中市,菊中市,菊中市,二鳥新町,新二鳥,菊中市,菊中市,菊中市,二鳥新町,四津川大学前,菊中市,菊中市,二鳥新町,菊中市,菊中市,二鳥新町,菊中市,新二鳥,菊中市,二鳥新町,新二鳥,四津川大学前,菊中市,菊中市,二鳥新町,新二鳥,菊中市,菊中市,菊中市,二鳥新町,新二鳥,菊中市,菊中市,二鳥新町,新二鳥,菊中市,菊中市,二鳥新町,新二鳥,滝之川信号場,菊中市,菊中市,二鳥新町,新二鳥,菊中市,菊中市,二鳥新町,新二鳥,菊中市,菊中市,二鳥新町,新二鳥,菊中市,菊中市,二鳥新町,新二鳥,菊中市,菊中市,二鳥新町,新二鳥,菊中市,菊中市,二鳥新町,新二鳥,菊中市,菊中市,二鳥新町,新二鳥,菊中市,菊中市,二鳥新町,新二鳥,菊中市,菊中市,二鳥新町,新二鳥,菊中市,菊中市,二鳥新町,新二鳥,菊中市,菊中市,二鳥新町,新二鳥,菊中市,菊中市,二鳥新町,新二鳥,菊中市,菊中市,二鳥新町,新二鳥,菊中市,菊中市,二鳥新町,新二鳥,菊中市,菊中市,二鳥新町,新二鳥,菊中市,菊中市,二鳥新町,新二鳥,菊中市,菊中市,二鳥新町,新二鳥,菊中市,菊中市,二鳥新町,新二鳥,菊中市,菊中市,二鳥新町,新二鳥,菊中市,菊中市,二鳥新町,新二鳥,菊中市,菊中市,二鳥新町,新二鳥,菊中市,菊中市,二鳥新町,新二鳥,菊中市,菊中市,二鳥新町,新二鳥,菊中市,菊中市,二鳥新町,新二鳥,菊中市,菊中市,二鳥新町,新二鳥,菊中市,菊中市,二鳥新町,新二鳥,菊中市,菊中市,二鳥新町,新二鳥,菊中市,菊中市,二鳥新町,新二鳥,菊中市,菊中市,二鳥新町,新二鳥,菊中市,菊中市,二鳥新町,新二鳥,菊中市,菊中市,二鳥新町,新二鳥,菊中市,菊中市,二鳥新町,新二鳥,菊中市,菊中市,二鳥新町,新二鳥,菊中市,菊中市,二鳥新町,新二鳥,菊中市,菊中市,二鳥新町,新二鳥,菊中市,菊中市,二鳥新町,新二鳥,菊中市,菊中市,二鳥新町,新二鳥,菊中市,菊中市,二鳥新町,新二鳥,菊中市,菊中市,二鳥新町,新二鳥,菊中市,菊中市,二鳥新町,新二鳥,菊中市,菊中市,二鳥新町,新二鳥,菊中市,菊中市,二鳥新町,新二鳥,菊中市,菊中市,二鳥新町,新二鳥,菊中市,菊中市,二鳥新町,新二鳥,新二鳥,菊中市,菊中市,二鳥新町,新二鳥,菊中市,菊中市,二鳥新町,新二鳥,新二鳥,菊中市,菊中市,二鳥新町,新二鳥,滝之川信号場,菊中市,菊中市,二鳥新町,新二鳥,新二鳥,菊中市,菊中市,二鳥新町,新二鳥,菊中市,菊中市,二鳥新町,新二鳥,菊中市,菊中市,二鳥新町,新二鳥,菊中市,菊中市,二鳥新町,新二鳥,菊中市,菊中市,二鳥新町,新二鳥,菊中市,菊中市,二鳥新町,新二鳥,菊中市,菊中市,二鳥新町,新二鳥,菊中市,菊中市,二鳥新町,新二鳥,菊中市,菊中市,二鳥新町,新二鳥,菊中市,菊中市,二鳥新町,新二鳥,菊中市,菊中市,二鳥新町,新二鳥,菊中市,菊中市,二鳥新町,新二鳥,菊中市,菊中市,二鳥新町,新二鳥,菊中市,菊中市,二鳥新町,新二鳥,菊中市,菊中市,二鳥新町,新二鳥,菊中市,菊中市,二鳥新町,新二鳥,菊中市,菊中市,二鳥新町,新二鳥,菊中市,菊中市,二鳥新町,新二鳥,菊中市,菊中市,二鳥新町,新二鳥,菊中市,菊中市,二鳥新町,新二鳥,菊中市,菊中市,二鳥新町,新二鳥,菊中市,菊中市,二鳥新町,新二鳥,菊中市,菊中市,二鳥新町,新二鳥,菊中市,菊中市,二鳥新町,新二鳥,菊中市,菊中市,二鳥新町,新二鳥,菊中市,二鳥新町,菊中市,菊中市,菊中市,二鳥新町,新二鳥,菊中市,菊中市,二鳥新町,新二鳥,菊中市,菊中市,二鳥新町,新二鳥,菊中市,菊中市,二鳥新町,新二鳥,菊中市,菊中市,二鳥新町,新二鳥,菊中市,菊中市,二鳥新町,新二鳥,滝之川信号場,菊中市,菊中市,二鳥新町,新二鳥,菊中市,菊中市,二鳥新町,新二鳥,滝之川信号場,菊中市,菊中市,新二鳥,菊中市,菊中市,二鳥新町,新二鳥,菊中市,菊中市,二鳥新町,菊中市,菊中市,菊中市,二鳥新町,新二鳥,菊中市,菊中市,二鳥新町,新二鳥,菊中市,菊中市,二鳥新町,新二鳥,菊中市,菊中市,二鳥新町,新二鳥,菊中市,菊中市,二鳥新町,新二鳥,新二鳥,菊中市,菊中市,二鳥新町,新二鳥,菊中市,菊中市,菊中市
始発駅作業,,出区,出区,出区,出区,出区,,,出区,出区,出区,出区,,,,,出区,,,,,,出区,出区,,,,,,,,,,,,出区,,,,,,,出区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,出区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,出区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,出区,,,,,,,,,出区,,,,,出区,,,,,出区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,出区,,,,,,,,,出区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, 44400, 44000, 45500, 44800, 50900,,, 52500, 53130, 52500, 54500,,,,, 52500,,,,,, 60500, 60200,,,,,,,,,,,, 63300,,,,,,, 61500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 83300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 93900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170800,,,,,,,,,172800,,,,,172200,,,,,174700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215900,,,,,,,,,222900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,27K,03,58S,13K,20K,,,11K,56S,05,60S,,,,,22K,,,,,,61S,51S,,,,,,,,,,,,53S,,,,,,,08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12K,,,,,,,,,57S,,,,,07,,,,,59S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55S,,,,,,,,,05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
